CODVIA,NOMVIA,NUMERO,NOM_ACTIVITAT,TIPUS,CATEGORIA,LAT,LNG,WEBSITE,TELEFON,HORARI,FONT,BARRI,DISTRICTE,ADRECA,CCAE
,c. de l' Advocat Cirera,11,EUGENIA VILALTA,activitat_econòmica,Perruqueria i altres tractaments de bellesa,41.5448,2.10929,,,,sabadellempresa.cat,EL CENTRE,1,"c. de l' Advocat Cirera, 11 Bxs C",Perruqueria i altres tractaments de bellesa
,pl. de Sant Jaume,3,EUSEBELLA SL,activitat_econòmica,Altres activitats de suport a les empreses ncaa,41.5401,2.11135,,,,sabadellempresa.cat,EL CENTRE,1,"pl. de Sant Jaume, 3 5è 2a",Altres activitats de suport a les empreses ncaa
,pg. de Manresa,19,EXITPROJECTES,activitat_econòmica,Serveis tècnics d'enginyeria i altres activitats relacionades amb l'assessoramen,41.5415,2.11137,,,,sabadellempresa.cat,EL CENTRE,1,"pg. de Manresa, 19 4t 1a",Serveis tècnics d'enginyeria i altres activitats relacionades amb l'assessorament tècnic
,pg. de Gaudí,35,EXOTIC SOULS STUDIO,activitat_econòmica,Educació relacionada amb l'esport i les activitats recreatives,41.5467,2.10496,,,,sabadellempresa.cat,COVADONGA,1,"pg. de Gaudí, 35 Bxs 1a",Educació relacionada amb l'esport i les activitats recreatives
,c. d'en Font,26,EXPENDEDURIA 1,activitat_econòmica,Comerç al detall de productes de tabac en establiments especialitzats,41.5493,2.10868,,,,sabadellempresa.cat,EL CENTRE,1,"c. d'en Font, 26 Bxs",Comerç al detall de productes de tabac en establiments especialitzats
,c. de les Tres Creus,166,EXPENDEDURIA 12,activitat_econòmica,Comerç al detall de productes de tabac en establiments especialitzats,41.5483,2.11739,,,,sabadellempresa.cat,EL CENTRE,1,"c. de les Tres Creus, 166 Bxs 2a",Comerç al detall de productes de tabac en establiments especialitzats
,ctra. de Terrassa,108,EXPENDEDURIA 20,activitat_econòmica,Comerç al detall de productes de tabac en establiments especialitzats,41.542,2.1152,,,,sabadellempresa.cat,HOSTAFRANCS,1,"ctra. de Terrassa, 108 Bxs",Comerç al detall de productes de tabac en establiments especialitzats
,pg. de la Plaça Major,25,EXPENDEDURIA 7,activitat_econòmica,Comerç al detall de productes de tabac en establiments especialitzats,41.5434,2.10317,,,,sabadellempresa.cat,EL CENTRE,1,"pg. de la Plaça Major, 25 Bxs",Comerç al detall de productes de tabac en establiments especialitzats
,c. de Calderón,73,EXPRESS SUPERMERCAT,activitat_econòmica,"Comerç al detall, amb predomini de productes alimentaris, begudes i tabac en est",41.54,2.11098,,,,sabadellempresa.cat,EL CENTRE,1,"c. de Calderón, 73 Bxs","Comerç al detall, amb predomini de productes alimentaris, begudes i tabac en establiments no especialitzats"
,Rambla,123,FACILMOBEL,activitat_econòmica,"Comerç al detall de mobles, aparells d'il·luminació i d'altres articles d'ús dom",41.5471,2.11152,,,,sabadellempresa.cat,EL CENTRE,1,"Rambla, 123 Bxs","Comerç al detall de mobles, aparells d'il·luminació i d'altres articles d'ús domèstic en establiments especialitzats"
,c. del Doctor Puig,44,FALGUERAS SI,activitat_econòmica,Promoció immobiliària,41.5494,2.09936,,,,sabadellempresa.cat,EL CENTRE,1,"c. del Doctor Puig, 44A Bxs 1a",Promoció immobiliària
,rda. de Ponent,183,FANCY DISSENY,activitat_econòmica,Comerç al detall de jocs i joguines en establiments especialitzats,41.5446,2.10988,,,,sabadellempresa.cat,HOSTAFRANCS,1,"rda. de Ponent, 183 Bxs 2a",Comerç al detall de jocs i joguines en establiments especialitzats
,c. de Sant Antoni Maria Claret,21,FARMACIA ARGELAGUET,activitat_econòmica,Comerç al detall de productes farmacèutics en establiments especialitzats,41.5479,2.0991,,,,sabadellempresa.cat,EL CENTRE,1,"c. de Sant Antoni Maria Claret, 21 Bxs 2a",Comerç al detall de productes farmacèutics en establiments especialitzats
,c. del Carme,10,FARMACIA BAGAN,activitat_econòmica,Comerç al detall de productes farmacèutics en establiments especialitzats,41.5409,2.11134,,,,sabadellempresa.cat,EL CENTRE,1,"c. del Carme, 10 Bxs",Comerç al detall de productes farmacèutics en establiments especialitzats
,via de Massagué,40,FARMACIA BLANCHART,activitat_econòmica,Comerç al detall de productes farmacèutics en establiments especialitzats,41.5482,2.11137,,,,sabadellempresa.cat,EL CENTRE,1,"via de Massagué, 40 Bxs",Comerç al detall de productes farmacèutics en establiments especialitzats
,rda. de Ponent,17,FARMACIA COROMINAS,activitat_econòmica,Comerç al detall de productes farmacèutics en establiments especialitzats,41.5458,2.11191,,,,sabadellempresa.cat,HOSTAFRANCS,1,"rda. de Ponent, 17 Bxs 6a",Comerç al detall de productes farmacèutics en establiments especialitzats
